A,B,C,D,E,F,G,H,I,J,K
0, -57017.52734375, -2742.223388671875, -1936.0855712890625, 704.4151611328125, -18775.73046875, -2985.700927734375, -517.1298828125, -55278.91796875, , 1714826857631.185
1, -57000.4296875, -3279.00048828125, -2399.101806640625, 651.9779663085938, -18768.69140625, -2074.21923828125, -403.940673828125, -55267.453125, , 1714826857634.835
2, -57012.23046875, -3232.53125, -2377.5771484375, 626.429931640625, -18781.765625, -2734.445068359375, -578.150146484375, -55305.47265625, , 1714826857638.977
3, -57028.1875, -2661.757080078125, -1900.479248046875, 691.6746215820312, -18797.255859375, -3764.882568359375, -724.9340209960938, -55315.6640625, , 1714826857642.673
4, -57020.74609375, -2604.089599609375, -1826.1820068359375, 722.0506591796875, -18782.16796875, -3247.01513671875, -562.3921508789062, -55280.73046875, , 1714826857646.815
5, -57001.8359375, -3136.3740234375, -2274.2451171875, 658.6163940429688, -18764.734375, -2116.19580078125, -384.2934875488281, -55263.69921875, , 1714826857650.462
6, -57008.609375, -3317.624267578125, -2438.195068359375, 576.60791015625, -18776.40234375, -2376.5712890625, -510.6925964355469, -55305.13671875, , 1714826857654.516
7, -57025.91015625, -2792.24658203125, -2007.6334228515625, 643.9984130859375, -18789.8125, -3557.413818359375, -713.0652465820312, -55332.49609375, , 1714826857658.582
8, -57022.55859375, -2514.1015625, -1756.3104248046875, 717.3568115234375, -18783.443359375, -3492.9736328125, -621.1995849609375, -55296.890625, , 1714826857662.199
9, -56998.41796875, -2951.56982421875, -2123.974365234375, 690.5347290039062, -18758.095703125, -2319.037841796875, -407.3605041503906, -55257.73046875, , 1714826857666.262
10, -56999.22265625, -3318.294921875, -2437.5244140625, 593.237548828125, -18765.806640625, -2108.082275390625, -443.6373596191406, -55275.23046875, , 1714826857670.339
11, -57029.39453125, -2942.114990234375, -2135.440673828125, 615.3657836914062, -18797.724609375, -3241.9189453125, -673.905029296875, -55319.82421875, , 1714826857673.998
12, -57031.9453125, -2488.151123046875, -1764.2230224609375, 719.234375, -18798.462890625, -3667.38427734375, -688.5230712890625, -55299.70703125, , 1714826857678.181
13, -57013.83984375, -2771.25830078125, -1990.86962890625, 701.6658935546875, -18781.765625, -2608.2470703125, -463.6198425292969, -55257.26171875, , 1714826857681.841
14, -57001.90234375, -3265.254150390625, -2406.07568359375, 612.28125, -18775.328125, -1958.28076171875, -403.4712829589844, -55265.10546875, , 1714826857685.918
15, -57014.2421875, -3065.83203125, -2252.51904296875, 607.58740234375, -18793.298828125, -2863.995849609375, -603.4299926757812, -55302.72265625, , 1714826857689.566
16, -57025.84375, -2511.82177734375, -1792.319091796875, 709.5113525390625, -18805.90625, -3693.87109375, -700.9953002929688, -55305.20703125, , 1714826857693.734
